IBEX 35 (Índice);^IBEX;Desconocido
ACS;ACS.MC;España
Acerinox;ACX.MC;España
Aena;AENA.MC;España
Amadeus IT Group;AMS.MC;España
Acciona;ANA.MC;España
Acciona Energía;ANE.MC;España
BBVA;BBVA.MC;España
Bankinter;BKT.MC;España
CaixaBank;CABK.MC;España
Cellnex Telecom;CLNX.MC;España
Inmobiliaria Colonial;COL.MC;España
Endesa;ELE.MC;España
Enagás;ENG.MC;España
Fluidra;FDR.MC;España
Ferrovial;FER.MC;España
Grifols;GRF.MC;España
International Airlines Group;IAG.MC;España
Iberdrola;IBE.MC;España
Indra;IDR.MC;España
Inditex;ITX.MC;España
Logista;LOG.MC;España
Mapfre;MAP.MC;España
Meliá Hotels International;MEL.MC;España
Merlin Properties;MRL.MC;España
ArcelorMittal;MTS.MC;España
Naturgy;NTGY.MC;España
Redeia Corporación;RED.MC;España
Repsol;REP.MC;España
Laboratorios Rovi;ROVI.MC;España
Banco Sabadell;SAB.MC;España
Banco Santander;SAN.MC;España
Sacyr;SCYR.MC;España
Solaria Energía y Medio Ambiente;SLR.MC;España
Telefónica;TEF.MC;España
Unicaja Banco;UNI.MC;España
S&P 500;^GSPC;Desconocido
Apple Inc.;AAPL;Estados Unidos
AbbVie Inc.;ABBV;Estados Unidos
Abbott Laboratories;ABT;Estados Unidos
Accenture plc;ACN;Estados Unidos
Amgen Inc.;AMGN;Estados Unidos
Amazon.com Inc.;AMZN;Estados Unidos
Boeing Co.;BA;Estados Unidos
Bristol-Myers Squibb Co.;BMY;Estados Unidos
Berkshire Hathaway Inc. (Class B);BRK-B;Desconocido
Citigroup Inc.;C;Estados Unidos
Comcast Corp.;CMCSA;Estados Unidos
Salesforce.com Inc.;CRM;Estados Unidos
Cisco Systems Inc.;CSCO;Estados Unidos
Chevron Corp.;CVX;Estados Unidos
Danaher Corp.;DHR;Estados Unidos
Walt Disney Co.;DIS;Estados Unidos
Alphabet Inc. (Class C);GOOG;Estados Unidos
Alphabet Inc. (Class A);GOOGL;Estados Unidos
Home Depot Inc.;HD;Estados Unidos
Honeywell International Inc.;HON;Estados Unidos
Intel Corp.;INTC;Estados Unidos
Johnson & Johnson;JNJ;Estados Unidos
JPMorgan Chase & Co.;JPM;Estados Unidos
Coca-Cola Co.;KO;Estados Unidos
Eli Lilly and Co.;LLY;Estados Unidos
Mastercard Inc.;MA;Estados Unidos
McDonald's Corp.;MCD;Estados Unidos
Medtronic plc;MDT;Estados Unidos
Meta Platforms Inc.;META;Estados Unidos
Merck & Co. Inc.;MRK;Estados Unidos
Microsoft Corp.;MSFT;Estados Unidos
Netflix Inc.;NFLX;Estados Unidos
Nike Inc.;NKE;Estados Unidos
NVIDIA Corp.;NVDA;Estados Unidos
Oracle Corp.;ORCL;Estados Unidos
Pfizer Inc.;PFE;Estados Unidos
Procter & Gamble Co.;PG;Estados Unidos
Philip Morris International Inc.;PM;Estados Unidos
QUALCOMM Inc.;QCOM;Estados Unidos
Thermo Fisher Scientific Inc.;TMO;Estados Unidos
Texas Instruments Inc.;TXN;Estados Unidos
UnitedHealth Group Inc.;UNH;Estados Unidos
Union Pacific Corp.;UNP;Estados Unidos
United Parcel Service Inc.;UPS;Estados Unidos
Visa Inc.;V;Estados Unidos
Verizon Communications Inc.;VZ;Estados Unidos
Wells Fargo & Co.;WFC;Estados Unidos
Walmart Inc.;WMT;Estados Unidos
Exxon Mobil Corp.;XOM;Estados Unidos
3M;MMM;Estados Unidos
A. O. Smith;AOS;Estados Unidos
Adobe Inc.;ADBE;Estados Unidos
Advanced Micro Devices;AMD;Estados Unidos
AES Corporation;AES;Estados Unidos
Aflac;AFL;Estados Unidos
Agilent Technologies;A;Estados Unidos
Air Products;APD;Estados Unidos
Airbnb;ABNB;Estados Unidos
Akamai Technologies;AKAM;Estados Unidos
Albemarle Corporation;ALB;Estados Unidos
Alexandria Real Estate Equities;ARE;Estados Unidos
Align Technology;ALGN;Estados Unidos
Allegion;ALLE;Estados Unidos
Alliant Energy;LNT;Estados Unidos
Allstate;ALL;Estados Unidos
Altria;MO;Estados Unidos
Amcor;AMCR;Estados Unidos
Ameren;AEE;Estados Unidos
American Electric Power;AEP;Estados Unidos
American Express;AXP;Estados Unidos
American International Group;AIG;Estados Unidos
American Tower;AMT;Estados Unidos
American Water Works;AWK;Estados Unidos
Ameriprise Financial;AMP;Estados Unidos
Ametek;AME;Estados Unidos
Amphenol;APH;Estados Unidos
Analog Devices;ADI;Estados Unidos
Ansys;ANSS;Estados Unidos
Aon;AON;Estados Unidos
APA Corporation;APA;Estados Unidos
Apollo Global Management;APO;Estados Unidos
Applied Materials;AMAT;Estados Unidos
Aptiv;APTV;Estados Unidos
Arch Capital Group;ACGL;Estados Unidos
Archer Daniels Midland;ADM;Estados Unidos
Arista Networks;ANET;Estados Unidos
Arthur J. Gallagher & Co.;AJG;Estados Unidos
Assurant;AIZ;Estados Unidos
AT&T;T;Estados Unidos
Atmos Energy;ATO;Estados Unidos
Autodesk;ADSK;Estados Unidos
Automatic Data Processing;ADP;Estados Unidos
AutoZone;AZO;Estados Unidos
AvalonBay Communities;AVB;Estados Unidos
Avery Dennison;AVY;Estados Unidos
Axon Enterprise;AXON;Estados Unidos
Baker Hughes;BKR;Estados Unidos
Ball Corporation;BALL;Estados Unidos
Bank of America;BAC;Estados Unidos
Baxter International;BAX;Estados Unidos
Becton Dickinson;BDX;Estados Unidos
Berkshire Hathaway;BRK.B;Estados Unidos
Best Buy;BBY;Estados Unidos
Bio-Techne;TECH;Estados Unidos
Biogen;BIIB;Estados Unidos
BlackRock;BLK;Estados Unidos
Blackstone Inc.;BX;Estados Unidos
BNY Mellon;BK;Estados Unidos
Booking Holdings;BKNG;Estados Unidos
BorgWarner;BWA;Estados Unidos
Boston Scientific;BSX;Estados Unidos
Broadcom;AVGO;Estados Unidos
Broadridge Financial Solutions;BR;Estados Unidos
Brown & Brown;BRO;Estados Unidos
Brown–Forman;BF.B;Estados Unidos
Builders FirstSource;BLDR;Estados Unidos
Bunge Global;BG;Estados Unidos
BXP, Inc.;BXP;Estados Unidos
C.H. Robinson;CHRW;Estados Unidos
Cadence Design Systems;CDNS;Estados Unidos
Caesars Entertainment;CZR;Estados Unidos
Camden Property Trust;CPT;Estados Unidos
Campbell Soup Company;CPB;Estados Unidos
Capital One;COF;Estados Unidos
